       0000001       0000002       0000003       0000004
       0000001       0000002       0000003       0000006
       0000001       0000002       0000003       0000008
       0000001       0000002       0000004       0000005
       0000001       0000002       0000004       0000007
       0000001       0000002       0000005       0000006
       0000001       0000002       0000005       0000008
       0000001       0000002       0000006       0000007
       0000001       0000002       0000007       0000008
       0000001       0000003       0000004       0000006
       0000001       0000003       0000004       0000008
       0000001       0000003       0000006       0000008
       0000001       0000004       0000005       0000006
       0000001       0000004       0000005       0000008
       0000001       0000004       0000006       0000007
       0000001       0000004       0000007       0000008
       0000001       0000005       0000006       0000008
       0000001       0000006       0000007       0000008
       0000002       0000003       0000004       0000005
       0000002       0000003       0000004       0000007
       0000002       0000003       0000005       0000006
       0000002       0000003       0000005       0000008
       0000002       0000003       0000006       0000007
       0000002       0000003       0000007       0000008
       0000002       0000004       0000005       0000007
       0000002       0000005       0000006       0000007
       0000002       0000005       0000007       0000008
       0000003       0000004       0000005       0000006
       0000003       0000004       0000005       0000008
       0000003       0000004       0000006       0000007
       0000003       0000004       0000007       0000008
       0000003       0000005       0000006       0000008
       0000003       0000006       0000007       0000008
       0000004       0000005       0000006       0000007
       0000004       0000005       0000007       0000008
       0000005       0000006       0000007       0000008
