 SINGLE-PARTICLE STATES BUILT BY THE D.O.R.A. SHELL-MODEL CODE

           n          l            j          m_j
           0           0  0.500000000     -0.500000000    
           0           0  0.500000000      0.500000000    
           1           0  0.500000000     -0.500000000    
           1           0  0.500000000      0.500000000    
           1           1   1.50000000      -1.50000000    
           1           1   1.50000000     -0.500000000    
           1           1   1.50000000      0.500000000    
           1           1   1.50000000       1.50000000    
           1           1  0.500000000     -0.500000000    
           1           1  0.500000000      0.500000000    
           2           0  0.500000000     -0.500000000    
           2           0  0.500000000      0.500000000    

 Total number of built sp states:          12

 END
